LeftLeg_Xposition,LeftLeg_Yposition,LeftLeg_Zposition,LeftFoot_Xposition,LeftFoot_Yposition,LeftFoot_Zposition,RightLeg_Xposition,RightLeg_Yposition,RightLeg_Zposition,RightFoot_Xposition,RightFoot_Yposition,RightFoot_Zposition
0.08823941301208693,0.07868522205613915,-0.5591611809978372,-0.12426040411381134,0.04772816556606019,-0.9857457889550875,0.2986260709903368,-0.09418203235753564,-0.5208196500268761,0.08446887654764268,-0.04827731034663624,-0.9470021558946772
0.07490849740783112,0.08052933283523073,-0.5583161826639265,-0.13910003841292085,0.04850576479142149,-0.98406702183716,0.30499439271082984,-0.09167726951860872,-0.5184784190219828,0.11412231012693042,-0.04543469090640956,-0.955549978100816
0.06136267281407681,0.0830431742071755,-0.5577046162784021,-0.154635758381382,0.04997830566317102,-0.9823695801739177,0.3103031816086754,-0.0892632754243406,-0.516289149276101,0.14495528704154204,-0.04238512005743189,-0.9635749505864427
0.048524430592202794,0.08453583697580391,-0.5578040611611148,-0.17019715764417942,0.0510637282848756,-0.9810409028351925,0.31495632208767077,-0.08718770386773861,-0.5137011101134132,0.17678886609339983,-0.04013449664604607,-0.970097676200896
0.037088434630164535,0.08534001778147071,-0.5591166160018526,-0.1836778873797109,0.05134945568264404,-0.9812490740355235,0.3172153217235647,-0.08583680741150213,-0.5114060428304479,0.20768350475881947,-0.03849088373261106,-0.9754784728730183
0.02497164224682802,0.0878361909424974,-0.5598746338144264,-0.19848525473639977,0.05196083240139282,-0.9804324933430356,0.31829931042852966,-0.083130362822049,-0.5101431484429038,0.23885784807696098,-0.03703447349223615,-0.9804263596981644
0.012065511591231814,0.08988894076204007,-0.5592648001063449,-0.2131461001151167,0.05200716198667105,-0.9787092423875055,0.3190619103784287,-0.07791810339872873,-0.5096854270326983,0.2694652141743439,-0.036121631331448745,-0.9844435742935862
-0.002309432492450192,0.09074469227479642,-0.5580220840154515,-0.22885482567006532,0.05164133225401446,-0.9766353320573598,0.3196976545390595,-0.07312903261941867,-0.5093743021780835,0.29939249169201165,-0.03579204292036703,-0.9866538065611966
-0.01830714157437363,0.09171694274220221,-0.5560620964569842,-0.24378906988715476,0.053195324518609755,-0.9753029870019032,0.3221252447962759,-0.07041981960304383,-0.5082725949064465,0.3303733016212802,-0.035289642521023235,-0.9860799995780564
-0.033814785275737336,0.09261319167685633,-0.5530869010382309,-0.25518420306858447,0.05354285068409137,-0.9744632514565668,0.3240990708431646,-0.06893509741126663,-0.5080051846202658,0.3590165171769626,-0.03445638025733733,-0.9846539711991974
-0.05111682072513535,0.09324049260210449,-0.5489815209740043,-0.2691728740925341,0.053994306407297465,-0.9720657133401429,0.3259327771767033,-0.0663757466013381,-0.50788339426202,0.3856465516882799,-0.03375553485150473,-0.9821958046638551
-0.06958874644242163,0.09364683846845706,-0.5448153265091324,-0.2854314557203894,0.05432807945710255,-0.9690262403391102,0.32804949672289463,-0.06358684320960922,-0.5071976698059105,0.4108020132128811,-0.03170041393469791,-0.9780876276356488
-0.0863798763923298,0.09349525439585787,-0.5411374138388038,-0.2995768944211399,0.05384647469435927,-0.9666535065343871,0.3295097582403377,-0.06244069979865541,-0.5066057025040115,0.43274650392808667,-0.0277794115019252,-0.9732349398816497
-0.10390289821256493,0.09248404045708863,-0.5369408923769629,-0.31407596612774036,0.05384589395871048,-0.9640513166578554,0.3304695435396432,-0.06256475307831028,-0.506263613636584,0.4498811042048121,-0.02680596668227664,-0.9689344081732758
-0.12647675056939356,0.0906651896988368,-0.5297890188224481,-0.3304022156068087,0.05261298575976975,-0.959969648158271,0.3332413604376028,-0.06271791551366829,-0.5048896545266462,0.4665623017570881,-0.023756552877186643,-0.9634849167889347
